Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank
deadlockDeadlock,Sentinel,Fair / B,41.28,0.51,50.36%,2.31%,128.17,1.24,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,35.18,3.37,49.73%,2.02%,125.07,1.27,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,58.8,-1.32,50.30%,6.23%,124.5,1.21,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,18.89,5.05,48.47%,1.04%,124.0,1.22,combined_maps_ranks,data
isoIso,Duelist,Good / A,59.27,-1.08,50.09%,3.92%,152.83,1.32,combined_maps_ranks,data
jettJett,Duelist,Strong / S,68.63,-1.0,49.98%,6.30%,148.62,1.31,combined_maps_ranks,data
kayoKAY/O,Initiator,Weak / C,32.54,3.2,48.77%,2.34%,125.0,1.34,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Fair / B,40.19,0.86,50.14%,2.33%,132.18,1.21,combined_maps_ranks,data
neonNeon,Duelist,Good / A,54.94,0.17,49.93%,4.91%,138.02,1.24,combined_maps_ranks,data
omenOmen,Controller,Strong / S,63.69,-0.97,49.27%,7.04%,140.05,1.29,combined_maps_ranks,data
phoenixPhoenix,Duelist,Good / A,50.34,1.54,49.83%,2.94%,146.65,1.33,combined_maps_ranks,data
razeRaze,Duelist,Good / A,48.95,-2.99,49.39%,3.89%,144.16,1.27,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,98.89,0.53,50.50%,10.27%,154.39,1.41,combined_maps_ranks,data
sageSage,Sentinel,Strong / S,67.78,-0.82,50.19%,8.18%,119.66,1.25,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,35.43,-2.03,49.53%,2.36%,122.16,1.29,combined_maps_ranks,data
sovaSova,Initiator,Fair / B,48.05,-1.05,49.84%,3.81%,132.34,1.28,combined_maps_ranks,data
viperViper,Controller,Bad / D,23.04,2.06,48.74%,0.87%,131.06,1.24,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,44.94,-13.3,49.90%,3.09%,130.49,1.3,combined_maps_ranks,data
yoruYoru,Duelist,Weak / C,35.81,1.83,48.92%,3.06%,132.61,1.23,combined_maps_ranks,data
astraAstra,Controller,Good / A,44.64,-3.5,49.49%,2.67%,139.23,1.49,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,41.39,0.06,49.52%,2.49%,131.03,1.38,combined_maps_ranks,data
brimstoneBrimstone,Controller,Weak / C,36.73,3.82,50.32%,0.62%,135.71,1.5,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,56.95,-2.45,49.87%,5.36%,149.74,1.33,combined_maps_ranks,data
cloveClove,Controller,God / S+,84.54,3.79,51.09%,10.16%,153.7,1.52,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,70.2,3.47,50.19%,8.60%,134.1,1.32,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Fair / B,42.79,0.73,50.50%,2.50%,134.96,1.3,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,33.08,-1.98,49.31%,0.85%,132.22,1.34,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,58.14,-0.8,50.10%,6.35%,127.7,1.26,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,27.89,-0.08,47.79%,0.53%,130.47,1.32,combined_maps_ranks,data
isoIso,Duelist,Good / A,58.65,2.61,50.57%,4.69%,167.46,1.41,combined_maps_ranks,data
jettJett,Duelist,God / S+,97.09,0.05,50.11%,13.87%,157.2,1.32,combined_maps_ranks,data
kayoKAY/O,Initiator,Weak / C,36.44,-2.6,48.43%,1.60%,133.39,1.46,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Bad / D,31.65,-1.61,49.35%,0.76%,136.87,1.22,combined_maps_ranks,data
neonNeon,Duelist,Good / A,47.36,2.43,50.23%,3.40%,146.52,1.27,combined_maps_ranks,data
omenOmen,Controller,Strong / S,58.78,4.51,48.96%,5.71%,159.37,1.4,combined_maps_ranks,data
phoenixPhoenix,Duelist,Fair / B,40.43,-2.37,49.90%,1.44%,154.89,1.39,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,41.51,0.02,49.48%,2.14%,154.2,1.3,combined_maps_ranks,data
reynaReyna,Duelist,Strong / S,82.32,0.83,50.34%,10.18%,159.56,1.42,combined_maps_ranks,data
sageSage,Sentinel,Fair / B,40.99,-1.64,49.99%,2.54%,126.91,1.3,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,35.2,1.5,49.80%,1.03%,131.94,1.37,combined_maps_ranks,data
sovaSova,Initiator,Strong / S,67.74,3.85,50.39%,7.56%,140.95,1.39,combined_maps_ranks,data
viperViper,Controller,Bad / D,31.71,0.14,49.43%,0.19%,142.3,1.35,combined_maps_ranks,data
vyseVyse,Sentinel,Good / A,46.67,-10.24,50.26%,3.02%,140.7,1.39,combined_maps_ranks,data
yoruYoru,Duelist,Fair / B,37.11,-0.53,48.83%,1.71%,145.34,1.3,combined_maps_ranks,data
astraAstra,Controller,Fair / B,35.93,-2.64,49.62%,1.54%,138.68,1.45,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,41.02,1.3,49.95%,2.71%,133.15,1.35,combined_maps_ranks,data
brimstoneBrimstone,Controller,Fair / B,35.38,1.77,49.72%,1.41%,136.68,1.46,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,59.74,-1.21,50.08%,5.13%,151.66,1.37,combined_maps_ranks,data
cloveClove,Controller,God / S+,92.58,1.43,51.34%,9.32%,154.24,1.51,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,67.32,0.88,50.39%,6.92%,133.95,1.34,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Fair / B,39.2,2.12,50.37%,2.29%,135.16,1.29,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,32.03,2.31,49.96%,1.33%,131.18,1.33,combined_maps_ranks,data
gekkoGekko,Initiator,Strong / S,60.16,-0.35,50.31%,6.20%,128.63,1.26,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,22.67,0.75,48.66%,0.76%,129.29,1.29,combined_maps_ranks,data
isoIso,Duelist,Good / A,59.8,-0.02,50.61%,4.21%,165.49,1.41,combined_maps_ranks,data
jettJett,Duelist,Strong / S,91.65,-0.3,50.23%,10.24%,159.22,1.36,combined_maps_ranks,data
kayoKAY/O,Initiator,Weak / C,33.61,-0.34,48.77%,1.99%,132.17,1.42,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Weak / C,32.8,1.47,49.90%,1.62%,137.49,1.24,combined_maps_ranks,data
neonNeon,Duelist,Good / A,50.21,0.58,50.03%,4.05%,146.57,1.28,combined_maps_ranks,data
omenOmen,Controller,Strong / S,65.04,-1.0,49.15%,6.68%,150.01,1.37,combined_maps_ranks,data
phoenixPhoenix,Duelist,Fair / B,44.09,0.44,50.07%,2.20%,157.24,1.4,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,44.78,-1.64,49.55%,3.12%,152.69,1.31,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,98.36,-0.44,50.46%,10.82%,162.02,1.45,combined_maps_ranks,data
sageSage,Sentinel,Good / A,53.49,-0.33,50.02%,5.26%,124.95,1.29,combined_maps_ranks,data
skyeSkye,Initiator,Bad / D,30.99,-2.12,49.15%,1.74%,128.81,1.33,combined_maps_ranks,data
sovaSova,Initiator,Good / A,56.24,3.23,50.26%,4.81%,140.04,1.37,combined_maps_ranks,data
viperViper,Controller,Bad / D,22.79,4.02,48.81%,0.38%,136.87,1.31,combined_maps_ranks,data
vyseVyse,Sentinel,Good / A,46.59,-11.62,50.08%,3.29%,139.79,1.37,combined_maps_ranks,data
yoruYoru,Duelist,Weak / C,33.55,1.69,49.00%,1.98%,142.48,1.29,combined_maps_ranks,data
astraAstra,Controller,Good / A,49.07,-6.19,48.93%,3.91%,140.02,1.51,combined_maps_ranks,data
breachBreach,Initiator,Weak / C,37.31,-5.96,48.92%,1.23%,128.5,1.4,combined_maps_ranks,data
brimstoneBrimstone,Controller,Weak / C,37.33,-1.04,49.52%,0.20%,138.41,1.55,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,48.48,-4.68,50.05%,3.47%,151.27,1.34,combined_maps_ranks,data
cloveClove,Controller,God / S+,82.32,8.34,51.14%,11.92%,156.0,1.55,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,71.4,2.39,50.08%,10.67%,134.52,1.3,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Good / A,45.12,1.62,50.41%,2.83%,137.31,1.32,combined_maps_ranks,data
fadeFade,Initiator,Bad / D,34.56,1.27,49.03%,0.27%,134.03,1.39,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,49.65,-0.31,50.63%,4.36%,129.8,1.29,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,34.0,0.61,48.46%,0.23%,137.05,1.4,combined_maps_ranks,data
isoIso,Duelist,Strong / S,63.45,4.06,50.51%,6.90%,167.73,1.4,combined_maps_ranks,data
jettJett,Duelist,God / S+,96.7,4.02,50.00%,17.32%,156.68,1.3,combined_maps_ranks,data
kayoKAY/O,Initiator,Fair / B,39.18,0.16,49.41%,0.96%,135.34,1.52,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Bad / D,33.78,-9.3,49.56%,0.14%,138.7,1.24,combined_maps_ranks,data
neonNeon,Duelist,Good / A,48.1,-1.27,50.17%,3.65%,147.43,1.27,combined_maps_ranks,data
omenOmen,Controller,Good / A,49.23,-3.25,48.99%,3.93%,152.22,1.4,combined_maps_ranks,data
phoenixPhoenix,Duelist,Fair / B,39.71,-6.26,49.56%,0.71%,159.68,1.41,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,40.43,3.47,50.07%,0.92%,159.71,1.34,combined_maps_ranks,data
reynaReyna,Duelist,Strong / S,71.34,2.01,50.90%,9.23%,159.2,1.4,combined_maps_ranks,data
sageSage,Sentinel,Weak / C,36.71,-2.39,49.89%,0.75%,131.35,1.34,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,37.26,1.31,50.65%,0.32%,133.94,1.4,combined_maps_ranks,data
sovaSova,Initiator,Strong / S,78.73,4.8,50.45%,12.15%,140.7,1.39,combined_maps_ranks,data
viperViper,Controller,Fair / B,40.63,12.46,50.59%,0.09%,166.26,1.48,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,44.18,-6.42,50.46%,1.94%,144.12,1.44,combined_maps_ranks,data
yoruYoru,Duelist,Fair / B,41.33,0.57,49.86%,1.90%,143.24,1.29,combined_maps_ranks,data
astraAstra,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
breachBreach,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
brimstoneBrimstone,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
chamberChamber,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
cloveClove,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
cypherCypher,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
fadeFade,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
gekkoGekko,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
harborHarbor,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
isoIso,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
jettJett,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
kayoKAY/O,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
neonNeon,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
omenOmen,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
phoenixPhoenix,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
razeRaze,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
reynaReyna,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
sageSage,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
skyeSkye,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
sovaSova,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
viperViper,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
vyseVyse,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
yoruYoru,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
astraAstra,Controller,Weak / C,30.89,0.84,49.15%,0.47%,129.89,1.34,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,34.43,6.58,50.03%,1.09%,122.02,1.25,combined_maps_ranks,data
brimstoneBrimstone,Controller,Fair / B,45.16,0.84,49.50%,3.36%,112.27,1.26,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,50.01,-1.36,49.67%,3.11%,134.66,1.28,combined_maps_ranks,data
cloveClove,Controller,Strong / S,68.53,-1.22,50.88%,4.69%,138.32,1.37,combined_maps_ranks,data
cypherCypher,Sentinel,Good / A,49.0,0.77,49.93%,3.45%,120.28,1.25,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Weak / C,32.46,1.12,49.61%,1.44%,119.59,1.17,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,31.47,-2.37,48.94%,2.14%,110.46,1.14,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,54.61,-0.13,49.89%,5.09%,112.86,1.11,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,19.89,-0.3,48.39%,0.69%,113.34,1.12,combined_maps_ranks,data
isoIso,Duelist,Good / A,53.01,-0.55,49.62%,3.71%,136.64,1.23,combined_maps_ranks,data
jettJett,Duelist,God / S+,97.06,-0.53,50.22%,10.07%,132.87,1.25,combined_maps_ranks,data
kayoKAY/O,Initiator,Fair / B,32.81,-0.46,48.45%,2.12%,113.9,1.25,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Weak / C,32.22,0.26,49.62%,1.68%,118.53,1.11,combined_maps_ranks,data
neonNeon,Duelist,Good / A,58.01,2.68,49.58%,5.22%,124.17,1.16,combined_maps_ranks,data
omenOmen,Controller,Good / A,56.0,-3.22,48.80%,5.14%,126.52,1.2,combined_maps_ranks,data
phoenixPhoenix,Duelist,Strong / S,73.83,-0.73,49.48%,7.92%,119.17,1.14,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,45.0,-1.36,48.83%,3.32%,131.07,1.19,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,97.42,1.55,49.92%,9.65%,141.68,1.34,combined_maps_ranks,data
sageSage,Sentinel,Strong / S,87.98,-0.07,50.04%,10.25%,105.38,1.13,combined_maps_ranks,data
skyeSkye,Initiator,Bad / D,29.05,2.47,48.85%,1.67%,111.58,1.17,combined_maps_ranks,data
sovaSova,Initiator,Strong / S,64.06,-0.9,49.84%,6.22%,114.97,1.18,combined_maps_ranks,data
viperViper,Controller,Bad / D,24.91,3.32,48.87%,1.25%,116.03,1.07,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,39.07,-6.93,49.14%,2.57%,120.68,1.2,combined_maps_ranks,data
yoruYoru,Duelist,Fair / B,43.11,-0.3,48.79%,3.68%,119.95,1.13,combined_maps_ranks,data
astraAstra,Controller,Fair / B,39.81,-3.44,49.38%,2.07%,139.14,1.46,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,41.71,0.6,49.76%,2.67%,132.95,1.38,combined_maps_ranks,data
brimstoneBrimstone,Controller,Weak / C,32.51,1.81,49.02%,0.97%,136.21,1.47,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,59.75,-0.24,49.99%,5.45%,151.02,1.35,combined_maps_ranks,data
cloveClove,Controller,Strong / S,90.03,1.52,51.15%,9.82%,154.72,1.52,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,68.23,2.71,50.11%,7.54%,133.98,1.32,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Fair / B,41.61,0.53,50.47%,2.44%,135.59,1.3,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,32.11,2.01,49.72%,1.09%,131.42,1.34,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,60.18,-1.88,50.29%,6.31%,128.31,1.27,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,26.03,1.49,48.61%,0.67%,129.9,1.31,combined_maps_ranks,data
isoIso,Duelist,Good / A,58.26,1.43,50.40%,4.34%,166.62,1.41,combined_maps_ranks,data
jettJett,Duelist,God / S+,97.4,0.36,50.26%,12.10%,158.62,1.34,combined_maps_ranks,data
kayoKAY/O,Initiator,Fair / B,36.04,2.01,48.78%,1.89%,133.46,1.45,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Bad / D,32.0,0.85,49.78%,1.20%,137.26,1.23,combined_maps_ranks,data
neonNeon,Duelist,Good / A,48.59,1.22,49.97%,3.77%,147.0,1.27,combined_maps_ranks,data
omenOmen,Controller,Strong / S,61.22,-1.78,49.17%,6.27%,143.85,1.38,combined_maps_ranks,data
phoenixPhoenix,Duelist,Fair / B,42.51,0.34,50.04%,1.87%,158.1,1.4,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,42.1,-1.63,49.22%,2.64%,154.49,1.3,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,91.4,0.94,50.38%,10.56%,161.0,1.43,combined_maps_ranks,data
sageSage,Sentinel,Good / A,47.44,2.54,50.15%,3.95%,125.99,1.31,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,33.22,2.37,49.46%,1.43%,130.44,1.35,combined_maps_ranks,data
sovaSova,Initiator,Strong / S,61.44,1.79,50.34%,5.72%,141.72,1.39,combined_maps_ranks,data
viperViper,Controller,Bad / D,26.83,-2.69,48.89%,0.26%,139.2,1.35,combined_maps_ranks,data
vyseVyse,Sentinel,Good / A,46.92,-10.63,50.11%,3.20%,140.74,1.39,combined_maps_ranks,data
yoruYoru,Duelist,Weak / C,32.69,-2.22,48.36%,1.75%,142.78,1.28,combined_maps_ranks,data
astraAstra,Controller,Good / A,52.55,+1.32,51.29%,3.99%,144.78,1.58,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,47.11,+0.51,54.59%,0.44%,142.69,1.64,combined_maps_ranks,data
brimstoneBrimstone,Controller,Bad / D,30.04,NEW,45.83%,0.03%,109.21,1.24,combined_maps_ranks,data
chamberChamber,Sentinel,Fair / B,47.62,+4.94,51.84%,2.83%,144.21,1.31,combined_maps_ranks,data
cloveClove,Controller,Strong / S,68.99,+3.54,50.43%,10.18%,159.77,1.56,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,67.37,+7.76,50.61%,10.74%,142.12,1.35,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Good / A,50.68,+4.20,52.00%,3.67%,145.36,1.37,combined_maps_ranks,data
fadeFade,Initiator,Bad / D,15.58,NEW,40.00%,0.05%,63.2,0.76,combined_maps_ranks,data
gekkoGekko,Initiator,Weak / C,41.69,-1.11,49.31%,2.00%,133.6,1.3,combined_maps_ranks,data
harborHarbor,Controller,Weak / C,35.81,NEW,48.38%,0.46%,130.48,1.24,combined_maps_ranks,data
isoIso,Duelist,Strong / S,66.39,+4.64,50.33%,9.60%,168.01,1.37,combined_maps_ranks,data
jettJett,Duelist,God / S+,91.19,+12.67,50.63%,19.16%,162.01,1.35,combined_maps_ranks,data
kayoKAY/O,Initiator,Fair / B,41.83,-1.75,47.42%,1.65%,139.72,1.6,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Weak / C,39.92,-4.08,55.07%,0.16%,112.4,1.14,combined_maps_ranks,data
neonNeon,Duelist,Good / A,49.29,-0.56,52.30%,2.85%,151.77,1.36,combined_maps_ranks,data
omenOmen,Controller,Fair / B,47.7,+4.70,49.95%,3.51%,135.9,1.43,combined_maps_ranks,data
phoenixPhoenix,Duelist,Bad / D,31.8,+16.55,44.91%,0.46%,136.32,1.15,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,46.95,+14.59,55.21%,0.48%,160.1,1.36,combined_maps_ranks,data
reynaReyna,Duelist,Good / A,58.52,+3.75,50.49%,6.55%,163.14,1.41,combined_maps_ranks,data
sageSage,Sentinel,Weak / C,41.22,-17.92,50.44%,0.26%,163.62,1.33,combined_maps_ranks,data
skyeSkye,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,combined_maps_ranks,data
sovaSova,Initiator,God / S+,79.52,+12.53,50.34%,14.99%,147.21,1.45,combined_maps_ranks,data
viperViper,Controller,Good / A,52.42,+0.80,59.42%,0.08%,154.48,1.63,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,44.13,-1.89,49.51%,1.77%,147.23,1.49,combined_maps_ranks,data
yoruYoru,Duelist,Good / A,51.67,+3.38,51.34%,4.09%,151.88,1.38,combined_maps_ranks,data
astraAstra,Controller,Fair / B,34.95,0.25,49.73%,1.13%,137.08,1.42,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,40.27,-0.18,49.85%,2.53%,133.71,1.34,combined_maps_ranks,data
brimstoneBrimstone,Controller,Fair / B,40.08,5.64,49.84%,1.92%,136.16,1.44,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,56.29,-1.13,50.01%,4.55%,149.31,1.37,combined_maps_ranks,data
cloveClove,Controller,God / S+,89.92,-0.96,51.37%,8.75%,153.94,1.49,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,64.24,1.25,50.34%,6.58%,133.04,1.34,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Fair / B,39.58,2.37,50.34%,2.27%,133.0,1.28,combined_maps_ranks,data
fadeFade,Initiator,Bad / D,32.61,2.9,49.68%,1.59%,129.48,1.31,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,58.86,-2.13,50.53%,6.03%,128.17,1.26,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,22.07,1.2,48.58%,0.91%,127.75,1.27,combined_maps_ranks,data
isoIso,Duelist,Good / A,59.45,1.5,50.39%,4.10%,162.17,1.39,combined_maps_ranks,data
jettJett,Duelist,Strong / S,78.78,-0.65,50.20%,8.20%,157.83,1.36,combined_maps_ranks,data
kayoKAY/O,Initiator,Weak / C,34.13,3.94,48.81%,2.17%,130.54,1.41,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Weak / C,34.65,-2.26,49.71%,1.99%,136.28,1.24,combined_maps_ranks,data
neonNeon,Duelist,Good / A,53.02,1.03,50.03%,4.44%,146.08,1.29,combined_maps_ranks,data
omenOmen,Controller,Strong / S,66.23,-2.48,49.35%,6.90%,153.55,1.35,combined_maps_ranks,data
phoenixPhoenix,Duelist,Good / A,48.09,0.18,49.99%,2.60%,155.74,1.4,combined_maps_ranks,data
razeRaze,Duelist,Fair / B,47.78,-1.14,49.58%,3.53%,151.49,1.31,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,98.89,0.59,50.63%,10.85%,162.26,1.47,combined_maps_ranks,data
sageSage,Sentinel,Strong / S,60.3,0.31,50.13%,6.68%,123.94,1.29,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,34.11,-0.91,49.39%,2.07%,128.27,1.33,combined_maps_ranks,data
sovaSova,Initiator,Good / A,50.85,0.79,50.06%,4.09%,138.64,1.34,combined_maps_ranks,data
viperViper,Controller,Bad / D,25.93,-0.21,49.07%,0.59%,136.36,1.31,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,46.14,-11.25,50.08%,3.23%,136.65,1.35,combined_maps_ranks,data
yoruYoru,Duelist,Weak / C,32.8,1.37,48.65%,2.29%,139.6,1.28,combined_maps_ranks,data
astraAstra,Controller,Bad / D,29.43,-3.61,49.30%,0.86%,137.64,1.46,combined_maps_ranks,data
breachBreach,Initiator,Weak / C,33.77,0.12,49.63%,1.78%,131.02,1.39,combined_maps_ranks,data
brimstoneBrimstone,Controller,Fair / B,37.49,-1.09,49.71%,1.87%,134.8,1.51,combined_maps_ranks,data
chamberChamber,Sentinel,Good / A,54.79,-3.13,49.95%,4.60%,147.16,1.34,combined_maps_ranks,data
cloveClove,Controller,Strong / S,90.35,3.18,51.10%,8.95%,152.69,1.53,combined_maps_ranks,data
cypherCypher,Sentinel,Strong / S,62.54,2.93,50.23%,6.14%,132.05,1.33,combined_maps_ranks,data
deadlockDeadlock,Sentinel,Fair / B,34.83,2.62,50.56%,1.63%,133.96,1.31,combined_maps_ranks,data
fadeFade,Initiator,Weak / C,33.95,-0.18,49.95%,1.78%,128.88,1.36,combined_maps_ranks,data
gekkoGekko,Initiator,Good / A,50.07,0.09,50.16%,4.59%,126.21,1.25,combined_maps_ranks,data
harborHarbor,Controller,Bad / D,21.27,0.38,48.34%,0.56%,131.45,1.34,combined_maps_ranks,data
isoIso,Duelist,Good / A,55.99,1.55,50.43%,4.06%,161.09,1.39,combined_maps_ranks,data
jettJett,Duelist,God / S+,97.38,0.2,50.25%,10.98%,153.87,1.33,combined_maps_ranks,data
kayoKAY/O,Initiator,Bad / D,31.53,-0.49,48.76%,1.71%,130.11,1.44,combined_maps_ranks,data
killjoyKilljoy,Sentinel,Fair / B,45.94,0.92,50.15%,3.67%,137.29,1.24,combined_maps_ranks,data
neonNeon,Duelist,Good / A,53.9,0.62,50.36%,4.46%,145.18,1.3,combined_maps_ranks,data
omenOmen,Controller,Good / A,56.43,2.13,49.10%,5.41%,136.03,1.4,combined_maps_ranks,data
phoenixPhoenix,Duelist,Fair / B,47.76,0.52,50.45%,2.93%,153.71,1.4,combined_maps_ranks,data
razeRaze,Duelist,Strong / S,56.92,-0.37,50.02%,4.76%,154.12,1.33,combined_maps_ranks,data
reynaReyna,Duelist,God / S+,93.75,2.05,50.42%,9.95%,157.7,1.43,combined_maps_ranks,data
sageSage,Sentinel,Good / A,51.96,-1.35,50.47%,4.51%,127.09,1.32,combined_maps_ranks,data
skyeSkye,Initiator,Weak / C,33.62,0.43,49.61%,2.00%,126.96,1.34,combined_maps_ranks,data
sovaSova,Initiator,Strong / S,68.74,2.34,50.10%,7.00%,136.65,1.34,combined_maps_ranks,data
viperViper,Controller,Weak / C,34.04,-0.17,49.91%,1.61%,138.13,1.35,combined_maps_ranks,data
vyseVyse,Sentinel,Fair / B,36.37,-11.12,49.83%,1.95%,138.0,1.37,combined_maps_ranks,data
yoruYoru,Duelist,Fair / B,37.19,1.45,49.57%,2.24%,142.12,1.32,combined_maps_ranks,data
astraAstra,Controller,Bad / D,36.29,-4.68,49.19%,1.08%,141.07,1.52,combined_maps_ranks,data
breachBreach,Initiator,Fair / B,38.48,0.3,49.56%,1.89%,131.35,1.43,combined_maps_ranks,data
brimstoneBrimstone,Controller,Weak / C,37.98,-0.21,49.66%,1.17%,138.56,1.59,combined_maps_ranks,data
chamberChamber,Sentinel,Strong / S,55.87,-3.82,49.91%,5.30%,149.68,1.34,combined_maps_ranks,data
